id;umur_tahun;umur_bulan;min_satu_sd;median;plus_satu_sd
1;10;0;14.9;16.4;18.5
2;10;1;15;16.5;18.5
3;10;2;15;16.5;18.6
4;10;3;15;16.6;18.6
5;10;4;15;16.6;18.7
6;10;5;15.1;16.6;18.8
7;10;6;15.1;16.7;18.8
8;10;7;15.1;16.7;18.9
9;10;8;15.2;16.8;18.9
10;10;9;15.2;16.8;19
11;10;10;15.2;16.9;19
12;10;11;15.3;16.9;19.1
13;11;0;15.3;16.9;19.2
14;11;1;15.3;17;19.2
15;11;2;15.4;17;19.3
16;11;3;15.4;17.1;19.3
17;11;4;15.5;17.1;19.4
18;11;5;15.5;17.2;19.5
19;11;6;15.5;17.2;19.5
20;11;7;15.6;17.3;19.6
21;11;8;15.6;17.3;19.7
22;11;9;15.7;17.4;19.7
23;11;10;15.7;17.4;19.8
24;11;11;15.7;17.5;19.9
25;12;0;15.8;17.5;19.9
26;12;1;15.8;17.6;20
27;12;2;15.9;17.6;20.1
28;12;3;15.9;17.7;20.2
29;12;4;16;17.8;20.2
30;12;5;16;17.8;20.3
31;12;6;16.1;17.9;20.4
32;12;7;16.1;17.9;20.4
33;12;8;16.2;18;20.5
34;12;9;16.2;18;20.6
35;12;10;16.3;18.1;20.7
36;12;11;16.3;18.2;20.8
37;13;0;16.4;18.2;20.8
38;13;1;16.4;18.3;20.9
39;13;2;16.5;18.4;21
40;13;3;16.5;18.4;21.1
41;13;4;16.6;18.5;21.1
42;13;5;16.6;18.6;21.2
43;13;6;16.7;18.6;21.3
44;13;7;16.7;18.7;21.4
45;13;8;16.8;18.7;21.5
46;13;9;16.8;18.8;21.5
47;13;10;16.9;18.9;21.6
48;13;11;17;18.9;21.7
49;14;0;17;19;21.8
50;14;1;17.1;19.1;21.8
51;14;2;17.1;19.1;21.9
52;14;3;17.2;19.2;22
53;14;4;17.2;19.3;22.1
54;14;5;17.3;19.3;22.2
55;14;6;17.3;19.4;22.2
56;14;7;17.4;19.5;22.3
57;14;8;17.4;19.5;22.4
58;14;9;17.5;19.6;22.5
59;14;10;17.5;19.6;22.5
60;14;11;17.6;19.7;22.6
61;15;0;17.6;19.8;22.7
62;15;1;17.7;19.8;22.8
63;15;2;17.8;19.9;22.8
64;15;3;17.8;20;22.9
65;15;4;17.9;20;23
66;15;5;17.9;20.1;23
67;15;6;18;20.1;23.1
68;15;7;18;20.2;23.2
69;15;8;18.1;20.3;23.3
70;15;9;18.1;20.3;23.3
71;15;10;18.2;20.4;23.4
72;15;11;18.2;20.4;23.5
73;16;0;18.2;20.5;23.5
74;16;1;18.3;20.6;23.6
75;16;2;18.3;20.6;23.7
76;16;3;18.4;20.7;23.7
77;16;4;18.4;20.7;23.8
78;16;5;18.5;20.8;23.8
79;16;6;18.5;20.8;23.9
80;16;7;18.6;20.9;24
81;16;8;18.6;20.9;24
82;16;9;18.7;21;24.1
83;16;10;18.7;21;24.2
84;16;11;18.7;21.1;24.2
85;17;0;18.8;21.1;24.3
86;17;1;18.8;21.2;24.3
87;17;2;18.9;21.2;24.4
88;17;3;18.9;21.3;24.4
89;17;4;18.9;21.3;24.5
90;17;5;19;21.4;24.5
91;17;6;19;21.4;24.6
92;17;7;19.1;21.5;24.7
93;17;8;19.1;21.5;24.7
94;17;9;19.1;21.6;24.8
95;17;10;19.2;21.6;24.8
96;17;11;19.2;21.7;24.9
97;18;0;19.2;21.7;24.9
98;18;1;19.3;21.8;25
99;18;2;19.3;21.8;25
100;18;3;19.3;21.8;25.1
101;18;4;19.4;21.9;25.1
102;18;5;19.4;21.9;25.1
103;18;6;19.4;22;25.2
104;18;7;19.5;22;25.2
105;18;8;19.5;22;25.3
106;18;9;19.5;22.1;25.3
107;18;10;19.6;22.1;25.4
108;18;11;19.6;22.2;25.4
